model_name,split,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,target_positive_rate,positive_rate_penalty,balanced_score,precision_compromise_score,predicted_positives,false_positives,false_negatives,true_positives,true_negatives,train_val_precision_gap,train_val_f1_gap,train_val_roc_auc_gap,reference_false_positives,false_positive_reduction,false_positive_reduction_rate
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.3,0.42769857433808556,0.4017467248908297,0.9633507853403142,0.5670261941448382,0.6507504363001746,0.9327902240325866,0.3890020366598778,0.5437881873727088,0.4640996099808704,0.45970298988256586,458,274,7,184,26,0.0,0.0,0.0,244,-30,-0.12295081967213115
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.31,0.42973523421588594,0.4021978021978022,0.9581151832460733,0.56656346749226,0.6507504363001746,0.9266802443991853,0.3890020366598778,0.5376782077393074,0.4653065923037355,0.459926198666931,455,272,8,183,28,0.0,0.0,0.0,244,-28,-0.11475409836065574
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.32,0.43380855397148677,0.4035476718403548,0.9528795811518325,0.5669781931464174,0.6507504363001746,0.9185336048879837,0.3890020366598778,0.5295315682281059,0.46782705911252637,0.4609540525475493,451,269,9,182,31,0.0,0.0,0.0,244,-25,-0.10245901639344263
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.33,0.4460285132382892,0.40857787810383744,0.9476439790575916,0.5709779179810726,0.6507504363001746,0.9022403258655805,0.3890020366598778,0.5132382892057026,0.4756362970766251,0.46527514189891817,443,262,10,181,38,0.0,0.0,0.0,244,-18,-0.07377049180327869
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.34,0.45417515274949083,0.4123006833712984,0.9476439790575916,0.5746031746031746,0.6507504363001746,0.8940936863543788,0.3890020366598778,0.505091649694501,0.48094340520114753,0.46860615691056123,439,258,10,181,42,0.0,0.0,0.0,244,-14,-0.05737704918032787
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.35,0.4623217922606925,0.41531322505800466,0.93717277486911,0.5755627009646302,0.6507504363001746,0.8778004073319755,0.3890020366598778,0.4887983706720977,0.48606114532748856,0.47090684136354677,431,252,12,179,48,0.0,0.0,0.0,244,-8,-0.03278688524590164
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.36,0.4663951120162933,0.4168618266978923,0.9319371727748691,0.5760517799352751,0.6507504363001746,0.869653767820774,0.3890020366598778,0.48065173116089616,0.4886275089967834,0.4720886783055971,427,249,13,178,51,0.0,0.0,0.0,244,-5,-0.020491803278688523
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.37,0.4725050916496945,0.41904761904761906,0.9214659685863874,0.5761047463175123,0.6507504363001746,0.8553971486761711,0.3890020366598778,0.4663951120162933,0.4924287812516899,0.4736293262268533,420,244,15,176,56,0.0,0.0,0.0,244,0,0.0
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.38,0.4786150712830957,0.42168674698795183,0.9162303664921466,0.5775577557755776,0.6507504363001746,0.845213849287169,0.3890020366598778,0.4562118126272912,0.49635807016663663,0.4757673176766993,415,240,16,175,60,0.0,0.0,0.0,244,4,0.01639344262295082
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.39,0.4786150712830957,0.4213075060532688,0.9109947643979057,0.5761589403973509,0.6507504363001746,0.8411405295315683,0.3890020366598778,0.45213849287169044,0.49623789266634916,0.47522208594677584,413,239,17,174,61,0.0,0.0,0.0,244,5,0.020491803278688523
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.4,0.49287169042769857,0.4271356783919598,0.8900523560209425,0.5772495755517827,0.6507504363001746,0.8105906313645621,0.3890020366598778,0.4215885947046843,0.505247238721581,0.4795199336147459,398,228,21,170,72,0.0,0.0,0.0,244,16,0.06557377049180328
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.41,0.5010183299389002,0.42894736842105263,0.8534031413612565,0.5709281961471103,0.6507504363001746,0.7739307535641547,0.3890020366598778,0.38492871690427694,0.5097332365418162,0.4795238407541764,380,217,28,163,83,0.0,0.0,0.0,244,27,0.11065573770491803
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.42,0.5010183299389002,0.4266304347826087,0.8219895287958116,0.5617173524150268,0.6507504363001746,0.7494908350305499,0.3890020366598778,0.3604887983706721,0.5087217397251032,0.47605981846084894,368,211,34,157,89,0.0,0.0,0.0,244,33,0.13524590163934427
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.43,0.5234215885947047,0.43909348441926344,0.8115183246073299,0.5698529411764706,0.6507504363001746,0.7189409368635438,0.3890020366598778,0.32993890020366595,0.523711631101506,0.486411070958796,353,198,36,155,102,0.0,0.0,0.0,244,46,0.1885245901639344
